Input,Output
01405,B39-2
01406,B15-2
01407,B24-2
01408,B24-2
01409,B24-2
01410,B24-2
01411,B24-2
01412,B24-2
01413,B24-2
01414,B39-2
01415,B21-1
01416,B23-2
01417,B23-2
01418,B23-2
01419,B23-2
01420,B23-2
01421,B23-2
01422,B23-2
01423,B23-1
01424,B23-2
01425,B23-2
01426,B23-2
01427,B23-2
01428,B23-2
01429,B23-2
01430,B23-2
01431,B23-2
01432,B23-2
01433,B23-2
01434,B23-2
01435,B23-2
01436,B23-2
01437,B23-2
01438,B23-2
01439,B23-2
01440,B23-2
01441,B23-1
01442,B23-1
01443,B36-1
01444,B1-2
01445,B15-1
01446,B35-1
01447,B20-2
01448,B1-2
01449,B3-1
01450,B31-2
01451,B37-1
01452,B21-2
01453,B39-2
01454,B31-2
01455,B29-11
01456,B39-2
01457,B15-2
01458,B24-2
01459,B24-2
01460,B24-2
01461,B24-2
01462,B15-2
01463,B24-1
01464,B30-4
01465,B24-1
01466,B24-2
01467,B24-2
01468,B24-2
01469,B24-2
01470,B24-2
01471,B24-2
01472,B24-2
01473,B24-2
01474,B5-1
01475,B37-1
01476,B7-1
01477,B33-1
01478,B7-2
01479,B7-2
01480,B1-2
01481,B36-2
01482,B31-1
01483,B21-1
01484,B1-2
01485,B1-2
01486,B35-1
01487,B15-2
01488,B26-2
01489,B15-2
01490,B25-2
01491,B25-2
01492,B25-2
01493,B25-2
01494,B25-2
01495,B25-2
01496,B25-2
01497,B25-2
01498,B25-2
01499,B25-2
01500,B25-2
01501,B25-2
01502,B25-2
01503,B25-2
01504,B25-2
01505,B25-2
01506,B25-2
01507,B25-2
01508,B25-1
01509,B25-1
01510,B25-2
01511,B29-11
01512,B15-2
01513,B37-1
01514,B26-2
01515,B15-2
01516,B36-2
01517,B37-1
01518,B15-1
01519,B37-2
01520,B29-11
01521,B34-1
01522,B21-1
01523,B33-2
01524,B39-2
01525,B39-2
01526,B26-1
01527,B26-2
01528,B26-1
01529,B26-1
01530,B26-1
01531,B26-1
01532,B26-2
01533,B26-1
01534,B26-1
01535,B26-1
01536,B26-1
01537,B26-1
01538,B26-1
01539,B26-1
01540,B26-1
01541,B26-1
01542,B15-2
01543,B26-1
01544,B37-2
01545,B37-2
01546,B39-2
01547,B37-2
01548,B21-2
01549,B36-1
01550,B26-1
01551,B26-1
01552,B26-1
01553,B26-1
01554,B26-1
01555,B26-1
01556,B26-2
01557,B48-9
01558,B48-9
01559,B39-2
01560,B15-2
01561,B19-2
01562,B31-1
01563,B8-1
01564,B39-2
01565,B15-2
01566,B6-2
01567,B28-2
01568,B1-1
01569,B28-2
01570,B28-2
01571,B15-2
01572,B22-2
01573,B1-2
01574,B27-2
01575,B27-1
01576,B27-1
01577,B27-2
01578,B27-2
01579,B27-2
01580,B27-2
01581,B27-2
01582,B27-2
01583,B27-2
01584,B27-2
01585,B27-2
01586,B27-2
01587,B27-2
01588,B27-2
01589,B27-2
01590,B27-2
01591,B27-2
01592,B27-2
01593,B27-2
01594,B27-2
01595,B27-2
01596,B27-2
01597,B27-2
01598,B27-2
01599,B27-2
